English,Tamil
Do you know what youre asking,நீ என்ன கேட்கிறாய் தெரியுமா
The summer vacation has come to an end too soon,கோடை விடுமுறை விரைவில் முடிவுக்கு வந்துவிட்டது
Lock the safe,பாதுகாப்பாக பூட்டு
When will you be back,நீங்கள் எப்போது திரும்பி வருவீர்கள்
Youre so impatient with me,நீங்கள் என்னிடம் மிகவும் பொறுமையாக இருக்கிறீர்கள்
A strong wind was blowing,பலத்த காற்று வீசியது
Money circulates through the banking system,வங்கி அமைப்பு மூலம் பணம் புழக்கத்தில் உள்ளது
This rule doesnt apply to emergencies,இந்த விதி அவசரநிலைக்கு பொருந்தாது
Something is being looked for,ஏதோ தேடப்படுகிறது
Everyone opposed it but they got married all the same,எல்லோரும் அதை எதிர்த்தனர் ஆனால் அவர்கள் ஒரே மாதிரியாக திருமணம் செய்து கொண்டனர்
What you are saying does not make sense,நீங்கள் சொல்வதில் அர்த்தமில்லை
The teachers greeted the little boy,ஆசிரியர்கள் சிறுவனை வாழ்த்தினர்
Do you wash your hands before meals,உணவுக்கு முன் கைகளை கழுவுகிறீர்களா
Hurry up and you can catch the bus,சீக்கிரம் நீங்கள் பஸ்ஸைப் பிடிக்கலாம்
You shouldnt let children eat too many sweets,குழந்தைகளை அதிக இனிப்புகளை சாப்பிட அனுமதிக்காதீர்கள்
I had intended to attend the meeting,கூட்டத்தில் கலந்து கொள்ள எண்ணியிருந்தேன்
About what time,எந்த நேரத்தில்
We have reserved a lot of food for emergencies,அவசர தேவைக்காக நிறைய உணவுகளை ஒதுக்கியுள்ளோம்
By the time you got there the sun had set,நீங்கள் அங்கு சென்றதற்குள் சூரியன் மறைந்திருந்தது
A schedule is an identity card for time but if you dont have a schedule the time isnt there,அட்டவணை என்பது நேரத்திற்கான அடையாள அட்டை ஆனால் உங்களிடம் அட்டவணை இல்லையென்றால் நேரம் இருக்காது
A fool and his money are soon parted,ஒரு முட்டாளும் அவனுடைய பணமும் விரைவில் பிரிக்கப்படுகின்றன
Before everything you should take better care of your health,எல்லாவற்றிற்கும் முன் நீங்கள் உங்கள் ஆரோக்கியத்தை நன்றாக கவனித்துக் கொள்ள வேண்டும்
Money is the root of all evil,எல்லா தீமைக்கும் மூல காரணம் பணம்
Ill give you a piece of my mind,என் மனதின் ஒரு பகுதியை உங்களுக்கு தருகிறேன்
The pitiful sight moved us to tears,அந்த பரிதாபமான காட்சி எங்களை கண்ணீரை வரவழைத்தது
We must instill patriotism into the young people of today,இன்றைய இளைஞர்களிடம் தேசபக்தியை வளர்க்க வேண்டும்
Ill make you a model plane,நான் உனக்கு ஒரு மாதிரி விமானத்தை உருவாக்குவேன்
Our showroom made a hit with young ladies,எங்கள் ஷோரூம் இளம் பெண்களை கவர்ந்தது
Ill go no matter what,என்ன இருந்தாலும் போவேன்
How long does it take to go to the office from your home,உங்கள் வீட்டிலிருந்து அலுவலகம் செல்ல எவ்வளவு நேரம் ஆகும்
I havent heard from him in several months,பல மாதங்களாக நான் அவரைக் கேட்கவில்லை
Milk is a good beverage,பால் ஒரு நல்ல பானம்
You ought not to have said a thing like that to him,நீங்கள் அவரிடம் அப்படி ஒரு விஷயத்தைச் சொல்லியிருக்கக் கூடாது
It is important that we should do our duty,நமது கடமையை நாம் செய்ய வேண்டியது முக்கியம்
Larger pirates often preyed on unarmed merchant ships,பெரிய கடற்கொள்ளையர்கள் பெரும்பாலும் நிராயுதபாணியான வணிகக் கப்பல்களை வேட்டையாடுகிறார்கள்
Could you hold these valuables,இந்த மதிப்புமிக்க பொருட்களை வைத்திருக்க முடியுமா
Admitting what you say I still think I am right,நீங்கள் சொல்வதை ஒப்புக்கொண்டாலும் நான் சொல்வது சரிதான் என்று நினைக்கிறேன்
Im afraid I took your umbrella by mistake,நான் உங்கள் குடையை தவறுதலாக எடுத்துவிட்டேனோ என்று பயப்படுகிறேன்
The meeting was attended by many,கூட்டத்தில் ஏராளமானோர் கலந்து கொண்டனர்
Merry Christmas,இனிய கிறிஸ்துமஸ்
Because of the problem of air pollution the bicycle may some day replace the automobile,காற்று மாசுபாடு பிரச்சனையால் ஒரு நாள் சைக்கிள் ஆட்டோமொபைலை மாற்றக்கூடும்
You have only a short rest so make the best of it,உங்களுக்கு ஒரு குறுகிய ஓய்வு மட்டுமே உள்ளது எனவே அதை சிறப்பாகப் பயன்படுத்துங்கள்
Basically I agree with your opinion,அடிப்படையில் உங்கள் கருத்துடன் நான் உடன்படுகிறேன்
I wish I were a good singer,நான் ஒரு நல்ல பாடகனாக இருக்க வேண்டும் என்று விரும்புகிறேன்
I hope there are some music clubs,சில மியூசிக் கிளப்புகள் உள்ளன என்று நம்புகிறேன்
A sharp tongue is the only edged tool that grows keener with constant use,கூர்மையான நாக்கு மட்டுமே தொடர்ந்து பயன்படுத்துவதன் மூலம் கூர்மையாக வளரும் ஒரே முனையுடைய கருவியாகும்
I think the only problem I have now is being shut in at home,எனக்கு இப்போது இருக்கும் ஒரே பிரச்சனை வீட்டில் அடைத்து வைப்பதுதான் என்று நினைக்கிறேன்
Look at the book on the desk,மேசையில் இருக்கும் புத்தகத்தைப் பாருங்கள்
You should conform to the rules,நீங்கள் விதிகளுக்கு இணங்க வேண்டும்
Summer vacation is near at hand,கோடை விடுமுறை நெருங்கிவிட்டது
What did you buy,என்ன வாங்கினாய்
I love to jog more than anything else in the world,உலகில் உள்ள எல்லாவற்றையும் விட நான் ஜாகிங் செய்ய விரும்புகிறேன்
Did you leave the window open,ஜன்னலை திறந்து விட்டீர்களா
Our plans for the summer are taking shape,கோடைகாலத்திற்கான எங்கள் திட்டங்கள் வடிவம் பெறுகின்றன
Come what may we must do our duty,எது வந்தாலும் நாம் நமது கடமையைச் செய்ய வேண்டும்
I have an urgent matter to attend to,நான் அவசரமாக கவனிக்க வேண்டிய விஷயம் இருக்கிறது
You will be able to play soccer,நீங்கள் கால்பந்து விளையாட முடியும்
We saw a fish splashing in the water,தண்ணீரில் ஒரு மீன் தெறிப்பதைக் கண்டோம்
What with overwork and lack of nourishment he became very ill,அதிக வேலை மற்றும் ஊட்டச்சத்து இல்லாததால் அவர் மிகவும் நோய்வாய்ப்பட்டார்
The teacher is likely to get angry with the students,ஆசிரியர் மாணவர்களிடம் கோபப்பட வாய்ப்பு உண்டு
You could also say that hes at the bottom of the class for sure,அவர் வகுப்பின் அடிமட்டத்தில் இருக்கிறார் என்றும் நீங்கள் கூறலாம்
